Date,Open,High,Low,Close,Volume,Dividends,Stock splits
2021-04-30,6.7347576242069005,6.754585628273381,6.609183416623429,6.615792751312256,6254200,0.0,0.0
2021-05-03,6.675275097097574,6.70832050793107,6.4307347708841895,6.529872894287109,6947800,0.0,0.0
2021-05-04,6.536482096231897,6.536482096231897,6.278723736964034,6.41090726852417,11185100,0.0,0.0
2021-05-05,6.437343624827337,6.569527149200439,6.344815472916546,6.5695271492004395,4151800,0.0,0.0
2021-05-06,6.562919004913053,6.866941452026367,6.463780880460406,6.866941452026367,8034200,0.0,0.0
2021-05-07,6.787631283617482,7.23705530166626,6.688493159851701,7.23705530166626,8605000,0.0,0.0
2021-05-10,7.2370550459969625,7.527859442408796,7.104871515946488,7.422111988067627,9466400,0.0,0.0
2021-05-11,7.322974415449795,7.92440994311658,7.303147043741214,7.818663120269775,11765200,0.0,0.0
2021-05-12,7.818663951684657,8.096249706325603,7.534468862337772,7.699698448181152,12877700,0.0,0.0
2021-05-13,7.765788847714006,8.063201911566315,7.745961478204042,8.023547172546387,8102600,0.0,0.0
2021-05-14,8.122685532508005,8.221823021124715,8.069812121205656,8.14912223815918,5249200,0.0,0.0
2021-05-17,8.228431878319,8.558890994960732,8.063202319998133,8.129294395446777,5857800,0.0,0.0
2021-05-18,8.215213933960781,8.314351417949869,8.036765706419525,8.195385932922363,4891400,0.0,0.0
2021-05-19,8.129296093066149,8.195387552015754,7.858319661680757,8.116077423095703,5181300,0.0,0.0
2021-05-20,8.063202319998133,8.129294395446777,7.944237466611616,8.129294395446777,4082200,0.0,0.0
2021-05-21,8.142512353955315,8.1887770584442,7.9244093894958505,7.92440938949585,2817700,0.0,0.0
2021-05-24,7.964066303666755,8.030157760985048,7.79883671491973,7.931020259857178,3721400,0.0,0.0
2021-05-25,7.937627045296883,8.030155181884766,7.851707611107663,8.030155181884766,3450400,0.0,0.0
2021-05-26,8.069813139616713,8.12929589241378,7.931020259857178,7.931020259857178,2363000,0.0,0.0
2021-05-27,7.957454517027807,8.056591987609863,7.957454517027807,8.056591987609863,1789300,0.0,0.0
2021-05-28,8.08302858287803,8.096247248276676,7.957454413094192,8.030155181884766,1658800,0.0,0.0
2021-05-31,8.043374372095068,8.122684478759766,7.96406426543037,8.122684478759766,2325600,0.0,0.0
2021-06-01,8.096249848604202,8.195387349732073,7.851710132894709,7.931020259857178,3233700,0.0,0.0
2021-06-02,7.95084684448551,8.016938925541572,7.812053978508421,7.891364097595215,3111800,0.0,0.0
2021-06-04,7.884754785833506,7.9640648988056695,7.660042483928666,7.732743263244629,3727100,0.0,0.0
2021-06-07,7.745961657917711,7.812053101251212,7.699696954253461,7.785616397857666,1284400,0.0,0.0
2021-06-08,7.77239954937485,7.779008883808699,7.276710812250956,7.336193561553955,4315100,0.0,0.0
2021-06-09,7.362629413604735,7.428720859362315,7.243663928820043,7.362629413604736,1577700,0.0,0.0
2021-06-10,7.4088932169244535,7.997110655306762,7.382456513530908,7.785616397857666,7858200,0.0,0.0
2021-06-11,8.016938662049377,8.116076150074324,7.8054450181024055,7.8847551345825195,6123700,0.0,0.0
2021-06-14,7.79883574183839,8.109467506408691,7.646824211401561,8.109467506408691,9065900,0.0,0.0
2021-06-15,8.03676603359421,8.09624877852949,7.845099761192074,7.8847551345825195,5688200,0.0,0.0
2021-06-16,7.884755164152221,7.9971113204956055,7.8054450473746755,7.9971113204956055,4024100,0.0,0.0
2021-06-17,7.964064506529654,8.393661088210626,7.9508458398683475,8.287914276123047,11173200,0.0,0.0
2021-06-18,8.287915539494087,8.479581823194716,8.01693913463811,8.327570915222168,4925700,0.0,0.0
2021-06-21,8.320961226290759,8.486190795898438,8.254869146327374,8.486190795898438,4931300,0.0,0.0
2021-06-22,8.413488537948368,8.558890721102514,8.340787761521655,8.512626647949219,3175500,0.0,0.0
2021-06-23,8.49280090734547,8.743949321473377,8.479582238022504,8.545674324035645,3780500,0.0,0.0
2021-06-24,8.591938229447294,8.691075726128275,8.45975469043904,8.605156898498535,4380300,0.0,0.0
2021-06-25,8.591936749723054,8.651419489607715,8.393661160207762,8.552281379699707,3662900,0.0,0.0
2021-06-28,8.519236905550049,8.862914085388184,8.472972197077013,8.862914085388184,6771400,0.0,0.0
2021-06-29,8.757168482146353,8.757168482146353,8.340789829623288,8.677858352661133,10700000,0.0,0.0
2021-06-30,8.651420381699745,8.776994577504283,8.552282261569102,8.638201713562012,5437200,0.0,0.0
2021-07-01,8.59193837210617,8.631593749617492,8.466364165538527,8.472972869873047,2628700,0.0,0.0
