Date,Open,High,Low,Close,Volume,Dividends,Stock splits
2020-09-15,8.165755226238687,8.177970709975018,7.988637879370944,8.061927795410156,483289,0.0,0.0
2020-09-16,8.110787938528217,8.220723708500667,7.9336693971089645,8.061927795410156,981242,0.0,0.0
2020-09-17,8.019173754302015,8.031389236450195,7.8787010850790224,8.031389236450195,532305,0.0,0.0
2020-09-18,8.037497663399579,8.074142921143022,7.866487456056463,7.939777374267578,466984,0.0,0.0
2020-09-21,7.848164445850592,7.866487672502249,7.683261976019363,7.793197154998779,581834,0.0,0.0
2020-09-22,7.805410408089366,7.8970229315035105,7.646614531318982,7.774872303009033,854908,0.0,0.0
2020-09-23,7.77487375637517,7.829841639064237,7.5122504234313965,7.5122504234313965,1127265,0.0,0.0
2020-09-24,7.548897004904574,7.732122715451971,7.4878219671473865,7.591650009155273,838809,0.0,0.0
2020-09-25,7.5733260477333815,7.609970705583697,7.426745624504931,7.5122504234313965,839321,0.0,0.0
2020-09-28,7.597756613255605,7.6344018722094225,7.304595138900856,7.3962082862854,838398,0.0,0.0
2020-09-29,7.383992602026796,7.396207487934322,7.090831756591797,7.090831756591797,1325379,0.0,0.0
2020-09-30,7.164122646216875,7.194660761063479,7.072509496228682,7.170230388641357,1213812,0.0,0.0
2020-10-01,7.225196372356714,7.249626740352742,7.066401070847488,7.127476692199707,1324354,0.0,0.0
2020-10-02,7.200765803009725,7.426744442126133,7.133583045066419,7.2618408203125,1658647,0.0,0.0
2020-10-05,7.292379344971734,7.506142515081473,7.255734093575627,7.365669250488281,1327943,0.0,0.0
2020-10-06,7.390100397024002,7.518358800810932,7.249627703529833,7.304594993591309,1037128,0.0,0.0
2020-10-07,7.304594171352073,7.420637675093586,7.267949514527909,7.31680965423584,1122855,0.0,0.0
2020-10-08,7.310701253916039,7.585540037619517,7.298486369408853,7.518357276916504,858394,0.0,0.0
2020-10-09,7.542788193408116,7.811519277101977,7.445068505208962,7.4694976806640625,979909,0.0,0.0
2020-10-13,7.524465084075927,7.6405073838296715,7.438959697221258,7.524465084075928,804354,0.0,0.0
2020-10-14,7.52446767330314,7.707692797400752,7.5122521872092705,7.555004596710205,711962,0.0,0.0
2020-10-15,7.50003428010365,7.719905176722926,7.457281290532209,7.701581954956055,701810,0.0,0.0
2020-10-16,7.695477096644257,7.787089649027157,7.591649656732133,7.726014614105225,738213,0.0,0.0
2020-10-19,7.787089499198098,8.17797126809473,7.7565525796004895,8.013068199157715,1261700,0.0,0.0
2020-10-20,8.055820650817745,8.10468019666005,7.927562252516553,8.061927795410156,601317,0.0,0.0
2020-10-21,8.080250518057865,8.080250518057865,7.964208190836607,7.970315933227539,500516,0.0,0.0
2020-10-22,7.970314401994714,8.153539471212348,7.951991775617813,8.147432327270508,465959,0.0,0.0
2020-10-23,8.177970755716276,8.263476155970071,8.086357613560153,8.165755271911621,478982,0.0,0.0
2020-10-26,8.15964793782104,8.226830708083652,8.025282397295818,8.214615821838379,518461,0.0,0.0
2020-10-27,8.251260398537065,8.318443168131719,7.951992403486748,8.019174575805664,599574,0.0,0.0
2020-10-28,7.909239983924068,7.909239983924068,7.5977559089660645,7.5977559089660645,727548,0.0,0.0
2020-10-29,7.603864595169575,7.6588318880570005,7.298488223963786,7.652724742889404,729292,0.0,0.0
2020-10-30,7.622186502540944,7.622186502540944,7.347348250798276,7.451175689697266,816044,0.0,0.0
2020-11-03,7.567216926590946,7.756550312042236,7.567216926590946,7.756550312042236,620390,0.0,0.0
2020-11-04,7.854270094199319,7.854270094199319,7.616076573088801,7.701581954956055,730932,0.0,0.0
2020-11-05,7.774874115018169,7.872594401678156,7.695476456766399,7.799304485321045,742212,0.0,0.0
2020-11-06,7.762659566380761,7.915347744911278,7.664939275467417,7.842057228088379,974884,0.0,0.0
2020-11-09,8.031390052839079,8.263475875386515,7.970315024992619,8.129110336303711,1111575,0.0,0.0
2020-11-10,8.129111708558078,8.355089827557356,7.988639001343236,8.336767196655273,1216375,0.0,0.0
2020-11-11,8.306227870221983,8.42837851723178,8.129109939742131,8.312335014343262,961554,0.0,0.0
2020-11-12,8.318441961595623,8.379517577907611,8.159646673190887,8.19629192352295,934892,0.0,0.0
2020-11-13,8.184077221306294,8.599389301587742,8.184077221306294,8.532206535339355,1190021,0.0,0.0
2020-11-16,8.660465336671457,8.709324884432544,8.477239643464273,8.636034965515137,934379,0.0,0.0
2020-11-17,8.636033411570242,8.654356037321614,8.465022636074552,8.581066131591797,619775,0.0,0.0
2020-11-18,8.58106759295052,8.67878788208252,8.513884819512796,8.550529479980469,534253,0.0,0.0
2020-11-19,8.550529985104625,8.666573507239411,8.452810287475586,8.452810287475586,1106038,0.0,0.0
2020-11-23,8.526098979879817,8.60549663337512,8.477238839476884,8.538313865661621,398075,0.0,0.0
2020-11-24,8.587172477148812,8.923086255908045,8.538312345445252,8.898655891418457,955196,0.0,0.0
2020-11-25,8.898659758902719,9.075778335922541,8.807047196120775,9.039133071899414,1042563,0.0,0.0
2020-11-26,9.014702696792039,9.118530745765607,8.892552613082781,9.039133071899414,402894,0.0,0.0
2020-11-27,9.075777455560386,9.204035269924281,9.033024452588542,9.124637603759766,734419,0.0,0.0
2020-11-30,9.124637366489104,9.191820143175754,8.868121147155762,8.868121147155762,1010467,0.0,0.0
2020-12-01,9.081883338917452,9.149066705292189,8.98416305609631,9.051345825195312,707142,0.0,0.0
2020-12-02,9.094099044799805,9.149067530096335,8.996379350444798,9.094099044799805,688377,0.0,0.0
2020-12-03,9.118530745765607,9.142961120872984,9.020810439887851,9.039133071899414,691863,0.0,0.0
2020-12-04,9.063562360813549,9.09409928080539,8.941411097191363,9.02691650390625,639566,0.0,0.0
2020-12-07,9.045239512289738,9.301755743170297,9.014701993744016,9.185712814331055,826503,0.0,0.0
2020-12-08,9.1796049847402,9.259002651661996,8.996379875201816,9.15517520904541,740059,0.0,0.0
2020-12-09,9.16738934543997,9.204034603254156,8.874228477478027,8.874228477478027,773078,0.0,0.0
2020-12-10,8.898658829940281,9.039132128272474,8.752078386425698,8.984164237976074,671354,0.0,0.0
