Date,Open,High,Low,Close,Volume,Dividends,Stock splits
2020-09-16,2.7793887140912146,2.8769768783079166,2.7624984101559127,2.7643749713897705,396700,0.0,0.0
2020-09-17,2.7212110317419755,2.8000323311173934,2.664910078048706,2.664910078048706,357700,0.0,0.0
2020-09-18,2.664910143352295,2.694937271664307,2.6536500597231916,2.672416925430298,444500,0.0,0.0
2020-09-21,2.6273760041539034,2.670539952599483,2.5710750539840195,2.6086089611053467,200700,0.0,0.0
2020-09-22,2.634882769337928,2.6667866349383615,2.586088600893055,2.5898420810699463,107000,0.0,0.0
2020-09-23,2.6311292838760516,2.6442661056236143,2.475363267983449,2.522280693054199,311200,0.0,0.0
2020-09-24,2.522281096107007,2.582335531497608,2.5091442722602197,2.5429248809814453,277900,0.0,0.0
2020-09-25,2.5410479083579474,2.5541847310034353,2.5147740840911865,2.5147740840911865,89600,0.0,0.0
2020-09-28,2.5035140580656354,2.55043148740277,2.4096791993913658,2.439706325531006,223400,0.0,0.0
2020-09-29,2.480993522893915,2.4941303448270107,2.364638328552246,2.364638328552246,171100,0.0,0.0
2020-09-30,2.3834053005672633,2.4490897711911868,2.3327345715230288,2.4209392070770264,289800,0.0,0.0
2020-10-01,2.420939394002274,2.5616916885134713,2.4115560508821656,2.507267475128174,406300,0.0,0.0
2020-10-02,2.531664199643367,2.719333898872244,2.497883775485694,2.539170980453491,578100,0.0,0.0
2020-10-05,2.572951834571631,2.616115783696432,2.5072673618438674,2.550431489944458,309400,0.0,0.0
2020-10-06,2.554184897119975,2.612362590717297,2.5391713334127557,2.571075201034546,311000,0.0,0.0
2020-10-07,2.57295216185787,2.616116116473239,2.5391715511322337,2.587965726852417,272800,0.0,0.0
2020-10-08,2.5898419752718786,2.6780467870919122,2.5485545898916406,2.604855537414551,289600,0.0,0.0
2020-10-09,2.625499182313602,2.693060392004378,2.5767050150871036,2.617992401123047,409000,0.0,0.0
2020-10-13,2.6423896428387446,2.693060553138626,2.5898421713607798,2.627376079559326,407200,0.0,0.0
2020-10-14,2.6273758309503448,2.6911835583381203,2.6067322281384424,2.6161155700683594,222500,0.0,0.0
2020-10-15,2.616115510313866,2.6836767161110675,2.556061264250372,2.584211826324463,236900,0.0,0.0
2020-10-16,2.582335315193425,2.627376003731781,2.524157624932875,2.5729517936706543,211700,0.0,0.0
2020-10-19,2.582335390328841,2.63675960197349,2.5560615650957788,2.591718912124634,120000,0.0,0.0
2020-10-20,2.591719082335948,2.6386365154204263,2.587965601780804,2.6198694705963135,88400,0.0,0.0
2020-10-21,2.584212162483196,2.7362245373493876,2.584212162483196,2.668663501739502,149700,0.0,0.0
2020-10-22,2.6724164062249356,2.7137037891204123,2.617992201989167,2.6592795848846436,134700,0.0,0.0
2020-10-23,2.664909758660925,2.696813622630926,2.642389415677826,2.674293279647827,41800,0.0,0.0
2020-10-26,2.644266127041385,2.64989616798226,2.5410477552545414,2.5448012351989746,170500,0.0,0.0
2020-10-27,2.569198386603045,2.57295186690931,2.5147741749927413,2.516650915145874,169000,0.0,0.0
2020-10-28,2.5053911281429184,2.5185279528151288,2.4303231239318848,2.4303231239318848,211900,0.0,0.0
2020-10-29,2.392788865628305,2.556061496158789,2.3552549584332145,2.47348690032959,156900,0.0,0.0
2020-10-30,2.469733435787961,2.488500478992441,2.3834053592037714,2.456596612930298,123400,0.0,0.0
2020-11-03,2.4678568111834527,2.4922538969008974,2.3383647797340275,2.4134325981140137,346600,0.0,0.0
2020-11-04,2.4209394371775277,2.46785686951799,2.3646386615496136,2.449090003967285,154500,0.0,0.0
2020-11-05,2.505391108494692,2.531664757633065,2.4565969329865545,2.529788017272949,210600,0.0,0.0
2020-11-06,2.524157831528782,2.6536500453948975,2.4584735334448666,2.6536500453948975,150500,0.0,0.0
2020-11-09,2.786895156731077,2.858209486259566,2.6592797016207332,2.754991292953491,541300,0.0,0.0
2020-11-10,2.7531150607478527,2.811292579089446,2.6836772794179273,2.756868362426758,290000,0.0,0.0
2020-11-11,2.756868308747687,2.7756353537042244,2.6686636627890543,2.7249646186828613,813100,0.0,0.0
2020-11-12,2.7287173898219144,2.7305941297478884,2.597348637591851,2.6367592811584473,170400,0.0,0.0
2020-11-13,2.636759438381115,2.6649098230461687,2.5748284489373723,2.6461429595947266,514000,0.0,0.0
2020-11-16,2.6442665457248715,2.6949372801673164,2.58045880837262,2.6836771965026855,609600,0.0,0.0
2020-11-17,2.6836770238469625,2.7268409734107446,2.642389635456021,2.6911838054656982,245000,0.0,0.0
2020-11-18,2.693060485848926,2.8112922489762204,2.6555263996124268,2.6555263996124268,229400,0.0,0.0
2020-11-19,2.6273758681063017,2.6911835963964363,2.625499128103468,2.657402992248535,216600,0.0,0.0
2020-11-23,2.6667867959882767,2.7212110090094335,2.556061629744179,2.5992257595062256,313200,0.0,0.0
2020-11-24,2.59171886496324,2.678046941757202,2.5804586032180326,2.678046941757202,585100,0.0,0.0
2020-11-25,2.687430325168435,2.7662516216530544,2.679923543549699,2.6911838054656982,480300,0.0,0.0
2020-11-26,2.6123622406288964,2.6742932273656175,2.589841898086068,2.6498961448669434,683600,0.0,0.0
2020-11-27,2.642389254974103,2.721210540109118,2.6104853929444176,2.6292524337768555,621000,0.0,0.0
2020-11-30,2.6311294681368227,2.7005672406272407,2.5898420810699463,2.5898420810699463,707600,0.0,0.0
2020-12-01,2.6086091243554366,2.7137042498479262,2.5992257812197233,2.664910078048706,648400,0.0,0.0
2020-12-02,2.6630331595501344,2.7324711111412014,2.6555263781586387,2.7005672454833984,312500,0.0,0.0
2020-12-03,2.7005675844125214,2.7962790144222085,2.696814103757808,2.756868362426758,633000,0.0,0.0
2020-12-04,2.7775117213087364,2.7944020237081197,2.6742933458492244,2.681800127029419,315100,0.0,0.0
2020-12-07,2.674293279647827,2.7305942265934626,2.6498961966721923,2.674293279647827,1398500,0.0,0.0
2020-12-08,2.6592796946442325,2.689306818361827,2.597348707232751,2.6161155700683594,1036700,0.0,0.0
2020-12-09,2.627375722507562,2.694936748083623,2.604855380648875,2.6592795848846436,566200,0.0,0.0
2020-12-10,2.7142058890014233,2.7302188873291016,2.5800968848396204,2.7302188873291016,437700,0.884408,0.0
2020-12-11,2.722212807839409,2.8222941582615926,2.706199807043062,2.7662484645843506,576400,0.0,0.0
2020-12-14,2.7922696930716135,2.8723348895052627,2.7502355174387065,2.846313714981079,2615400,0.0,0.0
2020-12-15,2.8463136426084725,2.8923509719029643,2.792269622073173,2.8383071422576904,3482100,0.0,0.0
2020-12-16,2.830301034925262,2.866330196061814,2.8122863589119604,2.818291187286377,1442800,0.0,0.0
2020-12-17,2.824295754273334,2.8763381044085845,2.790268078484134,2.8423104286193848,2324900,0.0,0.0
2020-12-18,2.834304190211523,2.86432871386371,2.7882668545242417,2.818291187286377,535800,0.0,0.0
2020-12-21,2.7622454088750668,2.774255064457939,2.688185229813906,2.7322208881378174,438100,0.0,0.0
2020-12-22,2.7462324948021974,2.754238995741969,2.652155965592352,2.6541576385498047,572400,0.0,0.0
2020-12-23,2.6541573010600117,2.7061996459960938,2.602114956123929,2.7061996459960938,708500,0.0,0.0
2020-12-28,2.7041977918650804,2.7542384607409405,2.684181447958735,2.7202107906341553,355100,0.0,0.0
2020-12-29,2.7302198226291967,2.7722540053616354,2.7102034724175357,2.73622465133667,409300,0.0,0.0
2020-12-30,2.7402273119950613,2.818290834655194,2.6821801359318944,2.7422289848327637,2219000,0.0,0.0
2021-01-04,2.7602433837993807,2.7602433837993807,2.62813604390327,2.686183214187622,714200,0.0,0.0
2021-01-05,2.662163734436035,2.670170234157602,2.5841002189832527,2.662163734436035,443300,0.0,0.0
2021-01-06,2.6621639515433793,2.664165624359516,2.5420662550355475,2.570089101791382,831800,0.0,0.0
2021-01-07,2.598111556081274,2.6081197284954416,2.5060369043629653,2.522049903869629,1140000,0.0,0.0
2021-01-08,2.540064653501018,2.6041168491846984,2.510040323976503,2.5780956745147705,2428500,0.0,0.0
2021-01-11,2.560080906583706,2.5760939071950326,2.4780142307281494,2.4780142307281494,720800,0.0,0.0
2021-01-12,2.4820172169379497,2.5500725603609924,2.4359798910282513,2.504035234451294,1042200,0.0,0.0
2021-01-13,2.5020334535653177,2.568087121468242,2.4960286267259617,2.526052951812744,488800,0.0,0.0
2021-01-14,2.5400643441563773,2.6381442031644236,2.4940270190401583,2.5881035327911377,1130600,0.0,0.0
2021-01-15,2.588103838774133,2.662164016775686,2.5400646444598567,2.6141250133514404,1247000,0.0,0.0
2021-01-18,2.62012988803642,2.6621640645088234,2.5841005393772067,2.598111867904663,234600,0.0,0.0
2021-01-19,2.6241330278884387,2.6241330278884387,2.5280550198686487,2.5540761947631836,416000,0.0,0.0
2021-01-20,2.580097244599283,2.586102072086955,2.4940272234192142,2.5140435695648193,492500,0.0,0.0
2021-01-21,2.516044971836762,2.5300564900512432,2.4559963170804813,2.4579977989196777,389100,0.0,0.0
2021-01-22,2.425971989644914,2.441984990958211,2.3819361405883304,2.4079573154449463,618100,0.0,0.0
2021-01-26,2.407957003923814,2.498030172380713,2.3999505043029785,2.3999505043029785,773800,0.0,0.0
2021-01-27,2.3939457790973884,2.536061296577292,2.3499099338654417,2.4820172786712646,1697500,0.0,0.0
2021-01-28,2.496028537909412,2.564083875967166,2.449991024739168,2.5240511894226074,831200,0.0,0.0
2021-01-29,2.496028731948798,2.550072557561284,2.453994560521304,2.522049903869629,1517800,0.0,0.0
2021-02-01,2.5140436697211217,2.6021151763123886,2.486020822178885,2.5780956745147705,864700,0.0,0.0
2021-02-02,2.6021150778684206,2.6341410790536277,2.5520744032940277,2.6121232509613037,398100,0.0,0.0
2021-02-03,2.6221312014426177,2.642147355039045,2.5901050120863194,2.6061182022094727,740600,0.0,0.0
2021-02-04,2.628136341627671,2.662164016775686,2.572090837632718,2.6141250133514404,574500,0.0,0.0
2021-02-05,2.6121233451028214,2.642147674573531,2.570089169309809,2.5961103439331055,353300,0.0,0.0
